id,dimension,title,severity,path,line_start,line_end,description,recommendation,effort
"F-001","Packaging & Distribution","Release identity is internally inconsistent","Critical","pyproject.toml","5","8","pyproject declares vamos-optimization 1.0.0 while runtime version, CITATION.cff, and README citation report 0.1.0.","Align pyproject.toml, src/vamos/foundation/version.py, CITATION.cff, README citation, generated metadata, and add a version consistency architecture test.","S"
"F-002","Code Quality & Maintainability","Source mypy fails in archive typing and private optional-backend coupling","Critical","src/vamos/engine/algorithm/components/archive.py","7","22","mypy reports archive errors from accessing subset_selection._moocore and using runtime Any aliases as types in archive factory/hooks.","Introduce explicit archive protocols or type aliases and replace private _moocore mutation with a supported helper seam.","S"
"F-003","Code Quality & Maintainability","Formatting debt is budgeted and repo-wide Ruff fails outside the CI scope","Important","tests/architecture/ruff_format_budget.json","1","4","Ruff lint passes for src/vamos tests, but ruff format reports 56 files and ruff check . reports 169 issues outside the gated scope.","Format src/vamos tests, reduce the budget, and decide whether examples/paper/tools are release-gated or archival.","M"
"F-004","Testing & Reliability","Publication-facing modules have weak or zero coverage despite a large passing suite","Important","src/vamos/experiment/benchmark/cli.py","72","120","Coverage passed at 69 percent total but benchmark CLI, profiler, Panel UI, zoo CLI, and pymoo interop surfaces include 0 percent modules.","Add focused smoke and behavior tests for benchmark CLI, profiler, pymoo adapter, and selected UI state rather than relying on global coverage.","L"
"F-005","API Design & User-Friendliness","python -m vamos does not work although the console script does","Important","pyproject.toml","165","166","The package exposes a vamos console script, but python -m vamos --help fails because there is no vamos.__main__.","Add src/vamos/__main__.py delegating to vamos.experiment.cli.main or document console-script-only support.","S"
"F-006","Performance & Vectorization","Default functional custom problems are elementwise not actually vectorized","Important","src/vamos/foundation/problem/builder.py","72","77","make_problem with vectorized=False evaluates each row through a Python list comprehension, which is compatibility mode rather than vectorized execution.","Keep scalar support but record/document vectorization mode and steer performance-sensitive users to vectorized=True or batched Problem.objectives.","M"
"F-007","Performance & Vectorization","Generic hypervolume contribution fallback is computationally expensive","Important","src/vamos/foundation/quality_indicators/hypervolume.py","285","291","The generic fallback computes full hypervolume then deletes one point and recomputes for every contribution.","Require/encourage accelerated backend or approximate pruning for large many-objective archives and add microbenchmarks.","M"
"F-008","Scientific-Software Readiness","Reproducibility story is present but not yet a single standardized artifact path","Important","README.md","63","68","README points to a publication environment but this audit did not verify a single locked reproduction command or standardized manifest schema.","Publish and test the canonical TEVC environment plus benchmark manifest fields for commit, versions, backend availability, and seeds.","M"
"F-009","Documentation & Onboarding","README citation points to maintained metadata that currently disagrees","Minor","README.md","341","351","README citation and CITATION.cff both show 0.1.0 while pyproject declares 1.0.0.","Update README and CITATION.cff together and cover them with the version consistency test.","S"
"F-010","Comparative Best Practices","Pymoo interop exists but is not covered by tests in the current coverage run","Minor","src/vamos_contrib/interop/pymoo.py","26","53","The local PymooProblemAdapter is an external-comparison surface but coverage reports 0 percent for the module.","Add fake-object adapter coverage and optional pymoo-installed integration coverage under the research extra.","S"
